region,area,palmitic,stearic,oleic,linoleic,linolenic,eicosenoic
1,1,1075,226,7823,672,36,29
1,1,1088,224,7709,781,31,29
1,1,911,246,8113,549,31,29
1,1,966,240,7952,619,50,35
1,1,1051,259,7771,672,50,46
1,1,911,268,7924,678,51,44
1,1,922,264,7990,618,49,29
1,1,1100,235,7728,734,39,35
1,1,1082,239,7745,709,46,33
1,1,1037,213,7944,633,26,30
1,1,1051,219,7978,605,21,24
1,1,1036,235,7868,661,30,44
1,1,1074,214,7728,747,50,33
1,1,875,243,8018,655,41,32
1,1,952,254,7795,780,50,41
1,1,1155,201,7606,816,32,29
1,1,943,183,7840,788,42,31
1,1,1278,205,7344,957,45,28
1,1,961,195,7958,742,46,30
1,1,952,258,7820,736,43,33
1,1,1074,236,7692,716,56,45
1,1,995,288,7806,679,56,40
1,1,1056,247,7703,700,54,51
1,1,1065,234,7876,703,42,26
1,1,1065,245,7779,696,47,38
1,2,1315,230,7299,832,42,32
1,2,1321,217,7174,950,43,30
1,2,1359,246,7234,874,45,18
1,2,1378,272,7127,940,46,23
1,2,1295,245,7253,903,43,38
1,2,1275,215,7285,892,40,41
1,2,1336,318,7083,915,50,38
1,2,1309,241,7257,870,46,35
1,2,1340,189,7337,820,48,21
1,2,1299,253,7309,823,40,27
1,2,1221,221,7441,798,54,28
1,2,1245,283,7395,829,44,28
1,2,1285,244,7323,819,57,36
1,2,1248,313,7299,840,46,33
1,2,1356,236,7209,866,48,36
1,2,1260,228,7354,870,49,28
1,2,1261,312,7238,877,47,25
1,2,1304,279,7160,928,48,37
1,2,1344,287,7129,897,51,41
1,2,1323,300,7351,757,47,26
1,2,1292,215,7351,839,48,32
1,2,1254,244,7394,786,46,24
1,2,1312,259,7167,939,41,20
1,2,1213,301,7261,925,47,31
1,2,1359,351,7262,780,41,16
1,2,1266,263,7435,743,45,29
1,2,1298,311,7311,787,45,23
1,2,1272,279,7258,872,43,27
1,2,1278,332,7379,771,44,24
1,2,1184,311,7391,819,48,28
1,2,1382,268,7241,828,39,30
1,2,1183,292,7580,618,38,23
1,2,1261,219,7355,818,52,26
1,2,1198,239,7639,633,27,19
1,2,1225,232,7658,616,36,26
1,2,1339,208,7190,923,40,25
1,2,1132,240,7641,638,45,31
1,2,1381,245,7385,609,47,25
1,2,1409,257,7257,759,43,16
1,2,1306,250,7254,869,47,24
1,2,1372,250,7355,702,44,28
1,2,1336,242,7293,855,38,18
1,2,1401,238,7164,857,45,36
1,2,1390,234,7236,823,40,41
1,2,1432,281,7029,949,39,25
1,2,1412,298,7182,790,45,28
1,2,1366,291,7197,783,51,34
1,2,1383,273,7282,738,45,29
1,2,1283,263,7400,763,54,28
1,2,1296,260,7380,780,48,18
1,2,1287,287,7343,826,44,23
1,2,1351,296,7229,810,36,22
1,2,1241,268,7499,709,52,36
1,2,1267,300,7230,898,74,34
1,2,1235,252,7322,861,54,36
1,2,1255,223,7395,848,47,30
1,3,1454,196,7057,1014,27,19
1,3,1347,197,7277,895,25,15
1,3,1364,225,6929,1084,21,14
1,3,1410,216,7130,955,21,19
1,3,1384,208,7105,999,29,26
1,3,1412,217,6842,1203,34,32
1,3,1410,280,6715,1233,32,24
1,3,1509,257,6647,1240,42,30
1,3,1317,256,7036,1067,40,22
1,3,1286,203,7132,1053,38,28
1,3,1273,202,6862,1303,43,28
1,3,1463,183,6747,1307,36,24
1,3,1399,191,6861,1233,38,17
1,3,1413,208,6875,1202,30,18
1,3,1369,203,6953,1168,35,16
1,3,1488,170,6920,1144,37,14
1,3,1323,205,6911,1298,24,17
1,3,1311,170,6902,1312,41,28
1,3,1286,183,7040,1230,29,12
1,3,1380,188,7038,1139,31,14
1,3,1394,223,7086,1042,24,23
1,3,1324,198,6863,1289,36,21
1,3,1290,192,7000,1263,26,19
1,3,1361,196,6888,1273,37,24
1,3,1387,242,6913,1101,44,30
1,3,1369,181,7000,1130,39,24
1,3,1303,175,7025,1243,31,16
1,3,1346,169,7072,1151,39,15
1,3,1369,184,6937,1246,30,15
1,3,1305,169,7004,1260,28,11
1,3,1351,186,6935,1243,36,19
1,3,1283,182,7000,1271,40,21
1,3,1449,198,6883,1162,40,22
1,3,1310,183,7054,1202,26,12
1,3,1360,176,6901,1280,28,27
1,3,1300,196,6920,1253,41,25
1,3,1368,218,7010,1057,41,26
1,3,1207,156,7159,1234,27,14
1,3,1348,183,6917,1277,48,16
1,3,1334,229,7261,827,34,20
1,3,1301,207,7003,1229,41,14
1,3,1226,213,6961,1230,47,26
1,3,1201,190,7100,1216,43,16
1,3,1297,177,7004,1260,35,16
1,3,1248,158,7103,1222,31,14
1,3,1335,197,6974,1220,36,17
1,3,1219,171,7087,1254,35,16
1,3,1318,177,7030,1194,35,25
1,3,1264,166,7130,1187,22,12
1,3,1201,201,7129,1193,36,15
1,3,1252,181,7055,1214,31,38
1,3,1273,209,6965,1191,43,23
1,3,1351,170,7034,1154,35,10
1,3,1336,212,7103,1086,33,20
1,3,1499,182,6803,1204,30,24
1,3,1425,193,7032,1041,31,17
1,3,1358,227,6962,1109,41,34
1,3,1346,257,7147,933,40,36
1,3,1392,256,6732,1278,53,29
1,3,1311,222,7006,1147,41,27
