id;Municipio;UF
1;Sao Caetano do Sul; Sao Paulo
2;Aguas de Sao Pedro; Sao Paulo
3;Florianopolis; Santa Catarina
4;Balneario Camboriu; Santa Catarina
5;Vitoria; Espirito Santo
6;Santos; Sao Paulo
7;Niteroi; Rio de Janeiro
8;Joacaba; Santa Catarina
9;Brasilia; Distrito Federal
10;Curitiba; Parana
11;Jundiai; Sao Paulo
12;Valinhos; Sao Paulo
13;Vinhedo; Sao Paulo
14;Santo Andre; Sao Paulo
15;Araraquara; Sao Paulo
16;Santana de Parnaiba; Sao Paulo
17;Nova Lima; Minas Gerais
18;Ilha Solteira; Sao Paulo
19;Americana; Sao Paulo
20;Belo Horizonte; Minas Gerais
21;Sao Jose; Santa Catarina
22;Joinville; Santa Catarina
23;Maringa; Parana
24;Sao Jose dos Campos; Sao Paulo
25;Blumenau; Santa Catarina
26;Presidente Prudente; Sao Paulo
27;Rio Fortuna; Santa Catarina
28;Sao Paulo; Sao Paulo
29;Assis; Sao Paulo
30;Campinas; Sao Paulo
31;Sao Bernardo do Campo; Sao Paulo
32;Porto Alegre; Rio Grande do Sul
33;Sao Carlos; Sao Paulo
34;Rio Claro; Sao Paulo
35;Jaragua do Sul; Santa Catarina
36;Rio do Sul; Santa Catarina
37;Bauru; Sao Paulo
38;Sao Miguel do Oeste; Santa Catarina
39;Pirassununga; Sao Paulo
40;Concordia; Santa Catarina
41;Vila Velha; Espirito Santo
42;Taubate; Sao Paulo
43;Ribeirao Preto; Sao Paulo
44;Botucatu; Sao Paulo
45;Goiania; Goias
46;Rio de Janeiro; Rio de Janeiro
47;Marilia; Sao Paulo
48;Sorocaba; Sao Paulo
49;Guaratingueta; Sao Paulo
50;Sao Joao da Boa Vista; Sao Paulo
51;Sao Jose do Rio Preto; Sao Paulo
52;Fernandopolis; Sao Paulo
53;Carlos Barbosa; Rio Grande do Sul
54;Itapema; Santa Catarina
55;Tubarao; Santa Catarina
56;Brusque; Santa Catarina
57;Iomere; Santa Catarina
58;Paulinia; Sao Paulo
59;Treze Tilias; Santa Catarina
60;Itajai; Santa Catarina
61;Holambra; Sao Paulo
62;Quatro Pontes; Parana
63;Tres Arroios; Rio Grande do Sul
64;Nova Odessa; Sao Paulo
65;Ipiranga do Sul; Rio Grande do Sul
66;Saltinho; Sao Paulo
67;Votuporanga; Sao Paulo
68;Santa Cruz da Conceicao; Sao Paulo
69;Adamantina; Sao Paulo
70;Chapeco; Santa Catarina
71;Candido Rodrigues; Sao Paulo
72;Uberlandia; Minas Gerais
73;Barretos; Sao Paulo
74;Luzerna; Santa Catarina
75;Lagoa dos Tres Cantos; Rio Grande do Sul
76;Fernando de Noronha; Pernambuco
77;Palmas; Tocantins
78;Aracatuba; Sao Paulo
79;Barra Bonita; Sao Paulo
80;Cacapava; Sao Paulo
81;Cruzeiro; Sao Paulo
82;Indaiatuba; Sao Paulo
83;Mairipora; Sao Paulo
84;Criciuma; Santa Catarina
85;Itajuba; Minas Gerais
86;Espirito Santo do Pinhal; Sao Paulo
87;Barueri; Sao Paulo
88;Lins; Sao Paulo
89;Pompeia; Sao Paulo
90;Porto Uniao; Santa Catarina
91;Garibaldi; Rio Grande do Sul
92;Amparo; Sao Paulo
93;Catanduva; Sao Paulo
94;Monte Aprazivel; Sao Paulo
95;Piracicaba; Sao Paulo
96;Tremembe; Sao Paulo
97;Casca; Rio Grande do Sul
98;Nova Araca; Rio Grande do Sul
99;Cuiaba; Mato Grosso
100;Campo Grande; Mato Grosso do Sul
101;Aruja; Sao Paulo
102;Jaguariuna; Sao Paulo
103;Moji Mirim; Sao Paulo
104;Ribeirao Pires; Sao Paulo
105;Santa Fe do Sul; Sao Paulo
106;Salto Veloso; Santa Catarina
107;Timbo; Santa Catarina
108;Ivoti; Rio Grande do Sul
109;Santa Maria; Rio Grande do Sul
